customer_id,segment,owning_team,company_size_employees,practice_area,arr_usd,tenure_months,weekly_active_users,manage_utilization_score,bills_per_month,payments_enabled,gpv_last_6mo_usd,time_to_adoption_days,estimated_billing_vol_6mo_usd,payments_penetration_rate,self_serve_attempt_incomplete,declined_competitor_contract,nps_score,health_score,gtm_touches_last_90_days,attended_payments_webinar
CUST-00034,MM,CSM,14,Immigration,11908,21,10,40,6,No,0.0,,36005.91,0.0,Yes,No,-12,Red,6,No
CUST-00035,MM,CSM,18,Corporate Law,4757,29,13,94,103,Yes,112020.04,15.0,136868.91,0.818,No,No,38,Green,7,Yes
CUST-00036,MM,CSM,11,Corporate Law,9792,16,4,78,75,Yes,155484.85,28.0,345677.36,0.45,No,No,6,Yellow,4,No
CUST-00037,Velocity,AM,4,Employment Law,1140,20,1,70,33,Yes,5206.7,46.0,14850.0,0.351,No,No,-19,Red,1,No
CUST-00038,Velocity,AM,3,Family Law,2024,14,2,74,5,No,0.0,,2673.21,0.0,No,No,16,Yellow,1,Yes
CUST-00039,Strat,AM,29,Litigation,31305,12,18,36,26,No,0.0,,449723.13,0.0,Yes,No,15,Yellow,6,No
CUST-00040,Velocity,AM,14,Real Estate Law,780,43,8,95,11,Yes,4144.51,131.0,4950.0,0.837,No,No,79,Green,2,No
CUST-00041,Velocity,AM,1,Litigation,2106,4,2,44,1,No,0.0,,694.54,0.0,No,No,11,Red,4,Yes
CUST-00042,Velocity,AM,3,Immigration,1282,32,1,98,17,No,0.0,,10388.65,0.0,Yes,No,-4,Yellow,3,No
CUST-00043,Velocity,AM,3,Real Estate Law,1316,12,1,72,12,Yes,5469.07,16.0,8865.01,0.617,No,No,58,Green,3,Yes
CUST-00044,MM,CSM,40,Personal Injury,12848,11,22,62,55,Yes,321159.25,16.0,418699.64,0.767,No,No,-1,Yellow,5,Yes
CUST-00045,Velocity,AM,7,Immigration,782,21,3,58,5,No,0.0,,2250.0,0.0,No,No,86,Green,2,No
CUST-00046,Strat,AM,20,Litigation,8000,6,11,48,9,Yes,24835.93,30.0,34421.24,0.722,No,No,40,Green,4,Yes
CUST-00047,Velocity,AM,3,Family Law,2276,10,3,60,9,No,0.0,,8952.73,0.0,No,No,-24,Red,5,No
CUST-00048,Strat,AM,55,Immigration,29090,10,31,30,10,No,0.0,,165157.68,0.0,No,No,-2,Red,3,No
CUST-00049,Strat,AM,39,Family Law,22496,15,22,61,54,Yes,679066.41,19.0,1224865.19,0.554,No,No,0,Yellow,3,No
CUST-00050,Velocity,AM,5,Intellectual Property,2089,10,3,48,1,No,0.0,,498.69,0.0,No,No,-8,Yellow,4,No
CUST-00051,MM,CSM,8,Criminal Defense,10248,51,5,100,45,Yes,139312.75,26.0,173553.39,0.803,No,No,34,Green,3,Yes
CUST-00052,Strat,AM,70,Litigation,26152,58,35,100,98,Yes,714121.98,18.0,1366935.09,0.522,No,No,36,Yellow,3,No
CUST-00053,MM,CSM,25,Personal Injury,31780,4,14,28,6,No,0.0,,87506.29,0.0,No,No,9,Yellow,9,No
CUST-00054,MM,CSM,17,Litigation,10689,25,9,85,77,Yes,476335.11,33.0,641523.33,0.743,No,No,69,Green,1,Yes
CUST-00055,Strat,AM,25,Litigation,36304,31,14,97,153,Yes,2795889.67,21.0,2882360.48,0.97,No,No,51,Green,9,No
CUST-00056,MM,CSM,22,Criminal Defense,9775,25,11,93,16,Yes,34930.19,21.0,59310.52,0.589,No,No,21,Green,8,No
CUST-00057,Velocity,AM,2,Personal Injury,1624,11,1,41,12,Yes,2970.23,115.0,6022.42,0.493,No,No,4,Yellow,2,No
CUST-00058,Velocity,AM,10,Estate Planning,1811,15,4,43,3,Yes,1270.44,114.0,2176.26,0.584,No,No,21,Yellow,3,No
CUST-00059,Velocity,AM,8,Corporate Law,1330,11,6,58,9,Yes,3020.64,67.0,4953.16,0.61,No,No,-21,Yellow,1,No
CUST-00060,Velocity,AM,7,Family Law,1678,13,4,54,3,Yes,714.11,73.0,1350.0,0.529,No,No,25,Yellow,2,No
CUST-00061,Velocity,AM,3,Corporate Law,1708,8,1,84,2,Yes,1091.55,23.0,1212.77,0.9,No,No,25,Green,6,Yes
CUST-00062,Velocity,AM,3,Corporate Law,1113,16,1,69,9,Yes,3226.91,33.0,4050.0,0.797,No,No,5,Yellow,4,Yes
CUST-00063,MM,CSM,19,Corporate Law,10236,6,11,46,9,Yes,34861.01,81.0,45933.89,0.759,No,No,46,Yellow,4,No
CUST-00064,Velocity,AM,2,Real Estate Law,2378,15,1,59,9,No,0.0,,8939.37,0.0,No,No,46,Yellow,2,No
CUST-00065,Velocity,AM,6,Employment Law,1078,8,2,34,2,Yes,663.12,23.0,900.0,0.737,No,No,61,Green,1,Yes
CUST-00066,Strat,AM,20,Corporate Law,30342,20,10,77,75,Yes,1526112.56,18.0,1573311.92,0.97,No,No,53,Green,8,Yes
CUST-00067,Velocity,AM,3,Litigation,1557,11,2,53,2,No,0.0,,1532.8,0.0,No,No,40,Green,2,No
CUST-00068,MM,CSM,15,Personal Injury,3628,21,9,71,60,Yes,97353.27,32.0,120489.95,0.808,No,No,20,Green,3,No
CUST-00069,Velocity,AM,4,Criminal Defense,1290,36,2,100,8,No,0.0,,4422.02,0.0,No,No,-50,Red,2,Yes
CUST-00070,MM,CSM,24,Employment Law,6540,51,13,100,215,Yes,163115.15,49.0,607251.92,0.269,No,No,-18,Red,4,No
CUST-00071,Strat,AM,110,Litigation,11482,3,62,19,5,No,0.0,,33070.06,0.0,No,No,11,Yellow,4,Yes
CUST-00072,Velocity,AM,9,Litigation,1338,10,6,63,15,Yes,4630.49,86.0,7016.76,0.66,No,No,41,Green,1,No
CUST-00073,Velocity,AM,7,Estate Planning,1534,14,4,50,4,Yes,1039.34,13.0,1800.0,0.577,No,No,40,Yellow,3,Yes
CUST-00074,MM,CSM,32,Real Estate Law,7522,24,16,76,60,Yes,44236.13,35.0,114670.61,0.386,No,No,0,Yellow,5,No
CUST-00075,Strat,AM,20,Estate Planning,71773,6,9,61,8,Yes,196970.38,65.0,257600.25,0.765,No,No,100,Green,4,No
CUST-00076,Strat,AM,37,Real Estate Law,37117,9,19,72,14,Yes,123466.46,87.0,354470.01,0.348,No,No,64,Yellow,3,No
CUST-00077,Strat,AM,84,Litigation,18628,19,49,48,83,Yes,711976.43,37.0,820074.42,0.868,No,No,66,Green,3,No
CUST-00078,Velocity,AM,6,Estate Planning,1135,19,3,69,15,No,0.0,,6750.0,0.0,No,No,44,Green,3,No
CUST-00079,Velocity,AM,4,Real Estate Law,1529,23,5,79,3,Yes,2084.91,113.0,2306.21,0.904,No,No,17,Green,1,No
CUST-00080,Velocity,AM,2,Family Law,1042,24,1,60,8,No,0.0,,3600.0,0.0,No,No,31,Yellow,1,No
CUST-00081,MM,CSM,35,Criminal Defense,13343,22,18,84,140,Yes,600940.09,23.0,933192.19,0.644,No,No,59,Yellow,3,Yes
CUST-00082,Strat,AM,38,Family Law,37560,20,20,72,114,Yes,3307863.64,23.0,3410168.71,0.97,No,No,100,Green,3,No
CUST-00083,Velocity,AM,4,Corporate Law,2725,18,2,69,61,Yes,21692.22,36.0,40537.95,0.535,No,No,0,Yellow,4,No
CUST-00084,Velocity,AM,4,Corporate Law,1643,27,1,72,14,Yes,5072.68,161.0,7628.39,0.665,No,No,67,Green,0,No
CUST-00085,Velocity,AM,8,Family Law,1043,4,2,47,1,No,0.0,,450.0,0.0,No,No,-5,Yellow,2,No
CUST-00086,Velocity,AM,10,Litigation,743,49,6,100,85,Yes,32790.9,25.0,38250.0,0.857,No,No,17,Green,6,Yes
CUST-00087,Strat,AM,107,Real Estate Law,26769,4,60,43,13,No,0.0,,251684.14,0.0,No,No,73,Green,3,No
CUST-00088,Strat,AM,34,Personal Injury,11620,9,22,45,27,Yes,211943.12,12.0,316485.55,0.67,No,No,6,Yellow,2,Yes
CUST-00089,MM,CSM,14,Family Law,5608,15,7,56,10,Yes,10874.57,164.0,22799.13,0.477,No,No,11,Yellow,5,No
CUST-00090,Velocity,AM,3,Litigation,1391,28,1,88,88,Yes,31067.75,13.0,40765.01,0.762,No,No,44,Green,3,Yes
CUST-00091,Velocity,AM,7,Intellectual Property,1625,2,2,39,5,No,0.0,,7906.71,0.0,No,No,0,Green,5,No
CUST-00092,Strat,AM,48,Corporate Law,17988,17,28,76,34,Yes,288769.9,25.0,379061.57,0.762,No,No,45,Green,4,No
CUST-00093,Strat,AM,23,Litigation,88370,30,13,83,504,Yes,8823564.67,29.0,28161311.51,0.313,No,No,8,Red,3,No
CUST-00094,Strat,AM,26,Family Law,81708,34,12,81,83,Yes,1554478.82,65.0,2680196.29,0.58,No,No,42,Green,3,Yes
CUST-00095,Strat,AM,34,Criminal Defense,32901,11,17,59,19,No,0.0,,264085.06,0.0,No,No,55,Green,3,No
CUST-00096,Velocity,AM,8,Corporate Law,2623,14,5,54,12,Yes,6634.47,148.0,12606.44,0.526,No,No,-12,Yellow,2,No
CUST-00097,Strat,AM,37,Real Estate Law,26541,12,20,66,17,Yes,226759.61,59.0,286658.24,0.791,No,No,65,Green,13,No
CUST-00098,Velocity,AM,4,Family Law,1723,14,3,60,7,No,0.0,,3150.0,0.0,No,No,41,Green,0,No
CUST-00099,Velocity,AM,7,Litigation,1483,9,2,59,2,No,0.0,,900.0,0.0,No,No,0,Yellow,4,No
CUST-00100,Velocity,AM,6,Corporate Law,3094,10,1,40,8,Yes,2850.78,31.0,7575.79,0.376,No,No,-1,Yellow,0,No
CUST-00101,Velocity,AM,5,Criminal Defense,1703,24,1,79,79,Yes,35244.16,45.0,47170.72,0.747,No,No,91,Green,5,Yes
CUST-00102,Strat,AM,20,Real Estate Law,8000,19,12,60,38,Yes,146149.9,70.0,234974.67,0.622,No,No,-21,Yellow,4,No
CUST-00103,Velocity,AM,6,Litigation,1418,25,6,65,21,No,0.0,,9450.0,0.0,No,No,27,Yellow,2,No
CUST-00104,Strat,AM,29,Litigation,37569,20,15,60,99,Yes,1817797.46,37.0,2572253.07,0.707,No,No,14,Green,2,Yes
CUST-00105,MM,CSM,17,Real Estate Law,14875,28,12,78,112,Yes,802160.33,40.0,1631924.18,0.492,No,No,62,Green,2,No
CUST-00106,Velocity,AM,5,Immigration,1057,32,3,100,18,No,0.0,,8100.0,0.0,No,No,35,Green,1,No
CUST-00107,Velocity,AM,8,Corporate Law,1342,5,2,37,5,No,0.0,,2250.0,0.0,No,No,-8,Red,0,Yes
CUST-00108,Strat,AM,55,Real Estate Law,25271,10,30,37,13,Yes,100817.33,251.0,246777.61,0.409,No,No,13,Yellow,4,No
CUST-00109,Velocity,AM,3,Litigation,1537,15,2,63,20,No,0.0,,14853.91,0.0,No,No,-13,Red,2,No
CUST-00110,Velocity,AM,4,Corporate Law,1837,17,1,65,0,No,0.0,,0.0,0.0,No,No,19,Yellow,1,No
CUST-00111,Velocity,AM,4,Litigation,647,11,3,48,13,No,0.0,,5850.0,0.0,No,Yes,18,Yellow,0,No
CUST-00112,Velocity,AM,3,Immigration,2115,32,3,90,4,No,0.0,,1800.0,0.0,No,No,17,Green,2,No
CUST-00113,MM,CSM,15,Family Law,8015,65,8,100,62,Yes,168017.68,73.0,176540.23,0.952,No,No,32,Green,1,Yes
CUST-00114,MM,CSM,29,Immigration,6500,20,15,79,45,Yes,101031.52,22.0,116745.6,0.865,No,No,67,Green,5,Yes
CUST-00115,Strat,AM,20,Criminal Defense,30081,19,10,76,18,Yes,201138.95,110.0,297953.46,0.675,No,No,39,Green,5,No
CUST-00116,MM,CSM,14,Immigration,5797,31,7,76,69,Yes,114706.01,30.0,138620.73,0.827,No,No,47,Green,5,Yes
CUST-00117,MM,CSM,16,Corporate Law,11172,5,7,78,15,Yes,123506.76,21.0,157558.78,0.784,No,No,30,Green,4,Yes
CUST-00118,Velocity,AM,4,Litigation,1699,18,1,80,73,Yes,29226.17,76.0,32850.0,0.89,No,No,34,Green,2,No
CUST-00119,MM,CSM,45,Intellectual Property,7674,34,24,100,34,Yes,50248.24,82.0,192403.12,0.261,No,No,17,Red,6,No
CUST-00120,Strat,AM,47,Criminal Defense,24833,11,26,40,4,No,0.0,,43631.88,0.0,No,No,9,Red,3,No
CUST-00121,MM,CSM,11,Personal Injury,6882,8,5,60,18,No,0.0,,52721.57,0.0,No,No,-7,Red,5,No
CUST-00122,MM,CSM,14,Litigation,10527,16,6,57,68,Yes,66136.75,16.0,203243.1,0.325,No,No,-5,Red,8,No
CUST-00123,Velocity,AM,16,Family Law,1072,17,9,63,17,No,0.0,,7650.0,0.0,No,No,-12,Red,2,No
CUST-00124,Velocity,AM,4,Criminal Defense,1438,10,2,32,0,No,0.0,,0.0,0.0,No,No,-19,Red,3,No
CUST-00125,Velocity,AM,6,Litigation,1666,70,2,100,9,No,0.0,,7950.2,0.0,No,No,54,Yellow,1,No
CUST-00126,Velocity,AM,9,Estate Planning,496,13,5,63,4,No,0.0,,1800.0,0.0,No,No,6,Yellow,1,No
CUST-00127,MM,CSM,5,Family Law,7164,8,2,61,21,Yes,24837.52,23.0,57123.59,0.435,No,No,-34,Red,3,Yes
CUST-00128,MM,CSM,31,Litigation,4426,17,17,73,85,Yes,57320.88,28.0,112372.68,0.51,No,No,8,Yellow,4,No
CUST-00129,Velocity,AM,1,Corporate Law,1914,32,2,100,128,Yes,57244.94,37.0,101391.31,0.565,No,No,42,Green,2,No
CUST-00130,Strat,AM,46,Corporate Law,18040,18,24,66,73,No,0.0,,838163.33,0.0,No,No,-1,Red,10,No
CUST-00131,Velocity,AM,3,Litigation,956,24,1,73,5,Yes,1682.65,29.0,2250.0,0.748,No,No,36,Green,3,Yes
CUST-00132,Velocity,AM,5,Real Estate Law,1116,10,2,56,13,Yes,3824.08,87.0,5850.0,0.654,No,No,50,Green,2,No
CUST-00133,Velocity,AM,6,Corporate Law,409,47,1,100,39,Yes,5340.87,19.0,17550.0,0.304,No,No,24,Yellow,2,Yes
CUST-00134,Velocity,AM,3,Corporate Law,891,26,1,81,34,Yes,9472.68,84.0,15300.0,0.619,No,No,53,Green,4,No
CUST-00135,MM,CSM,15,Personal Injury,7029,35,7,100,168,Yes,406392.66,25.0,671393.59,0.605,No,No,27,Green,5,Yes
CUST-00136,Velocity,AM,7,Family Law,641,23,1,73,46,Yes,14053.71,43.0,20700.0,0.679,No,No,24,Yellow,1,Yes
CUST-00137,Strat,AM,41,Family Law,44671,31,23,79,111,Yes,2113749.21,48.0,2674071.09,0.79,No,No,54,Green,9,Yes
CUST-00138,Strat,AM,123,Criminal Defense,25210,10,67,52,45,No,0.0,,601315.98,0.0,Yes,No,27,Yellow,6,No
CUST-00139,Velocity,AM,5,Employment Law,657,13,4,59,12,Yes,3754.45,16.0,5400.0,0.695,No,No,26,Yellow,1,Yes
CUST-00140,MM,CSM,5,Litigation,13097,43,3,100,78,Yes,212604.53,40.0,260947.01,0.815,No,No,61,Green,8,No
CUST-00141,MM,CSM,18,Family Law,15219,50,11,100,66,Yes,533312.81,41.0,620343.96,0.86,No,No,8,Green,11,No
CUST-00142,Velocity,AM,2,Real Estate Law,1870,8,2,59,6,No,0.0,,2700.0,0.0,Yes,No,33,Green,3,Yes
CUST-00143,Velocity,AM,12,Corporate Law,1788,21,6,55,8,Yes,3426.09,66.0,5446.94,0.629,No,No,36,Yellow,1,No
CUST-00144,Velocity,AM,5,Immigration,1486,13,2,76,10,Yes,2283.32,43.0,4965.93,0.46,No,No,-33,Red,2,Yes
CUST-00145,Velocity,AM,2,Intellectual Property,2724,11,1,21,2,No,0.0,,2765.22,0.0,No,No,2,Red,3,Yes
CUST-00146,Velocity,AM,3,Employment Law,1857,21,3,98,29,Yes,14409.26,21.0,14955.86,0.963,No,No,42,Green,4,Yes
CUST-00147,Strat,AM,20,Corporate Law,17176,38,10,99,552,Yes,2810648.33,26.0,3672182.0,0.765,No,No,38,Green,4,No
CUST-00148,Strat,AM,95,Corporate Law,27145,24,50,75,186,Yes,1423811.71,94.0,2347225.89,0.607,No,No,-22,Yellow,5,Yes
CUST-00149,Velocity,AM,10,Intellectual Property,1429,14,6,59,6,No,0.0,,3406.7,0.0,No,No,-27,Red,3,No
CUST-00150,Velocity,AM,1,Family Law,2211,25,1,84,18,Yes,15578.31,20.0,17937.1,0.868,No,No,100,Green,1,Yes
CUST-00151,MM,CSM,13,Corporate Law,12263,14,6,60,33,Yes,68748.73,55.0,126765.39,0.542,No,No,14,Yellow,8,No
CUST-00152,Velocity,AM,5,Criminal Defense,739,23,4,74,13,Yes,4032.51,91.0,5850.0,0.689,No,No,66,Green,3,No
CUST-00153,Velocity,AM,5,Corporate Law,3977,45,2,100,107,Yes,105651.33,36.0,141762.81,0.745,No,No,100,Green,3,No
CUST-00154,Velocity,AM,6,Corporate Law,1442,4,2,48,1,No,0.0,,522.34,0.0,No,No,25,Yellow,1,Yes
CUST-00155,MM,CSM,31,Personal Injury,9845,30,16,77,46,Yes,169586.47,10.0,293262.76,0.578,No,No,53,Yellow,3,Yes
CUST-00156,Velocity,AM,5,Litigation,905,6,1,54,14,Yes,1615.21,8.0,6300.0,0.256,No,No,0,Red,3,Yes
CUST-00157,Strat,AM,46,Litigation,58075,40,26,100,153,Yes,2623508.96,13.0,3872660.17,0.677,No,No,28,Yellow,4,No
CUST-00158,Strat,AM,24,Corporate Law,71931,12,13,50,56,Yes,1139172.36,27.0,2812502.27,0.405,No,No,-6,Yellow,4,Yes
CUST-00159,Velocity,AM,4,Real Estate Law,992,8,1,58,2,No,0.0,,900.0,0.0,No,No,45,Green,1,Yes
CUST-00160,Strat,AM,73,Litigation,28064,28,39,83,58,Yes,407940.46,46.0,1054938.35,0.387,No,No,25,Yellow,4,No
CUST-00161,Velocity,AM,7,Estate Planning,1298,23,3,73,14,Yes,4221.83,113.0,6300.0,0.67,No,No,38,Green,4,No
CUST-00162,Strat,AM,39,Real Estate Law,43107,9,22,48,49,Yes,596441.78,22.0,1258728.13,0.474,No,No,27,Yellow,2,Yes
CUST-00163,Strat,AM,48,Personal Injury,10964,8,26,20,10,Yes,14989.98,72.0,27966.95,0.536,No,No,13,Yellow,7,No
CUST-00164,Strat,AM,20,Corporate Law,54785,16,8,57,26,Yes,349534.72,74.0,745326.69,0.469,No,No,0,Yellow,3,No
CUST-00165,Velocity,AM,4,Immigration,1169,8,3,57,2,No,0.0,,904.07,0.0,No,No,66,Green,5,No
CUST-00166,MM,CSM,9,Corporate Law,5508,9,5,50,11,Yes,5487.41,20.0,28254.78,0.194,No,No,-12,Red,7,Yes
CUST-00167,Velocity,AM,1,Criminal Defense,1414,19,1,53,0,No,0.0,,0.0,0.0,No,No,-7,Red,3,No
CUST-00168,Velocity,AM,3,Family Law,958,9,3,62,4,No,0.0,,1800.0,0.0,No,No,53,Green,3,No
CUST-00169,Velocity,AM,4,Litigation,1743,23,2,72,38,Yes,18419.67,19.0,25600.33,0.72,No,No,7,Yellow,3,No
CUST-00170,Strat,AM,142,Criminal Defense,14306,47,79,100,218,Yes,1764245.12,17.0,2519273.47,0.7,No,No,15,Yellow,2,Yes
CUST-00171,Strat,AM,81,Corporate Law,56117,16,46,90,397,Yes,19644824.72,22.0,29433899.53,0.667,No,No,39,Green,5,Yes
CUST-00172,Velocity,AM,3,Litigation,1622,19,2,56,27,Yes,11276.93,36.0,13376.15,0.843,No,No,83,Green,1,No
CUST-00173,Strat,AM,30,Family Law,36392,67,15,100,276,Yes,3218183.64,29.0,5202946.58,0.619,No,No,57,Green,6,No
CUST-00174,Velocity,AM,10,Real Estate Law,1944,8,5,40,0,No,0.0,,0.0,0.0,No,No,-19,Red,2,Yes
CUST-00175,Strat,AM,54,Corporate Law,25934,39,31,100,633,Yes,11126454.46,39.0,14737942.17,0.755,No,No,46,Green,3,No
CUST-00176,Velocity,AM,2,Litigation,1347,36,1,88,97,Yes,41949.13,29.0,43650.0,0.961,No,No,32,Green,4,Yes
CUST-00177,Strat,AM,83,Litigation,14186,31,45,75,132,Yes,467053.63,25.0,817327.11,0.571,No,No,24,Yellow,5,No
CUST-00178,Velocity,AM,2,Estate Planning,1566,42,1,100,31,Yes,9044.72,12.0,14892.49,0.607,No,No,-4,Yellow,1,Yes
CUST-00179,MM,CSM,11,Family Law,6268,21,4,77,76,Yes,175454.27,53.0,192970.8,0.909,No,No,77,Green,7,Yes
CUST-00180,Velocity,AM,4,Corporate Law,800,12,3,70,39,Yes,10227.28,116.0,17550.0,0.583,No,No,65,Green,2,No
CUST-00181,Velocity,AM,3,Litigation,2031,37,2,100,33,Yes,8271.44,18.0,16245.55,0.509,No,No,1,Yellow,1,Yes
CUST-00182,Velocity,AM,2,Family Law,721,37,1,100,12,Yes,3827.17,137.0,5400.0,0.709,No,No,78,Green,2,No
CUST-00183,MM,CSM,13,Immigration,12448,37,8,100,30,Yes,123114.39,25.0,197553.94,0.623,No,No,48,Green,9,No
CUST-00184,MM,CSM,16,Criminal Defense,7265,18,8,74,52,Yes,80447.05,37.0,114730.43,0.701,No,No,63,Green,6,No
CUST-00185,Velocity,AM,5,Personal Injury,674,11,1,38,0,No,0.0,,0.0,0.0,No,No,47,Green,1,No
CUST-00186,Strat,AM,54,Litigation,40574,20,28,63,13,No,0.0,,347988.55,0.0,Yes,No,14,Yellow,3,No
CUST-00187,MM,CSM,14,Intellectual Property,14082,33,8,100,122,Yes,827650.94,16.0,1182960.89,0.7,No,No,71,Green,3,No
CUST-00188,Strat,AM,20,Corporate Law,61105,35,12,96,236,Yes,4890356.09,29.0,8569590.87,0.571,No,No,50,Green,4,Yes
CUST-00189,Strat,AM,44,Intellectual Property,27306,13,23,60,37,Yes,403881.66,25.0,508381.58,0.794,No,No,8,Yellow,4,Yes
CUST-00190,Velocity,AM,4,Corporate Law,1410,22,3,64,6,No,0.0,,5719.38,0.0,No,No,4,Yellow,3,Yes
CUST-00191,Velocity,AM,9,Estate Planning,911,7,7,49,0,No,0.0,,0.0,0.0,No,No,46,Green,2,No
CUST-00192,MM,CSM,12,Family Law,14276,34,4,97,49,Yes,296439.99,34.0,340948.27,0.869,No,No,90,Green,4,No
CUST-00193,MM,CSM,13,Family Law,13429,10,7,38,15,Yes,26332.41,41.0,54363.94,0.484,No,No,-13,Red,6,Yes
CUST-00194,Strat,AM,112,Personal Injury,26344,30,62,96,114,Yes,723852.4,12.0,1844051.28,0.393,No,No,0,Yellow,4,No
CUST-00195,Velocity,AM,6,Criminal Defense,880,8,3,28,3,No,0.0,,1350.0,0.0,No,No,22,Yellow,4,No
CUST-00196,Velocity,AM,7,Intellectual Property,1619,35,5,100,8,No,0.0,,5878.68,0.0,No,No,78,Green,3,No
CUST-00197,Strat,AM,53,Real Estate Law,23038,22,32,95,75,Yes,381683.65,59.0,1063175.93,0.359,No,No,8,Red,2,No
CUST-00198,MM,CSM,7,Family Law,11231,10,4,61,31,Yes,166664.32,77.0,193278.3,0.862,No,No,59,Green,10,No
